
Stage_Workout (min),Distance(mile),Speed (mph),Watts ,HR ,RPM 
48.6,15.456,13.98,62,0,108
48.7,15.479,14.51,68,0,110
48.8,15.503,13.98,62,0,119
48.9,15.527,15.25,77,0,110
49.0,15.553,15.85,85,0,114
49.1,15.581,16.69,97,0,118
49.2,15.608,16.49,94,0,113
49.3,15.636,16.00,87,0,110
49.4,15.663,16.42,93,0,104
49.5,15.689,15.01,74,0,101
49.6,15.712,13.10,53,0,87
49.7,15.733,12.35,46,0,76
49.8,15.755,14.07,63,0,92
49.9,15.779,15.40,79,0,101
50.0,15.805,15.17,76,0,97
50.1,15.831,15.56,81,0,108
50.2,15.857,15.71,83,0,110
50.3,15.881,13.80,60,0,107
50.4,15.905,15.01,74,0,110
50.5,15.928,14.16,64,0,111
50.6,15.954,15.71,83,0,109
50.7,15.981,15.92,86,0,109
50.8,16.006,14.34,66,0,111
50.9,16.032,16.00,87,0,114
51.0,16.058,15.78,84,0,118
51.1,16.086,17.02,102,0,115
51.2,16.114,16.56,95,0,110
51.3,16.142,17.09,103,0,112
51.4,16.171,17.34,107,0,112
51.5,16.201,19.12,138,0,110
51.6,16.233,18.86,133,0,110
51.7,16.261,16.14,89,0,109
51.8,16.290,17.71,113,0,108
51.9,16.320,18.07,119,0,114
52.0,16.350,17.28,106,0,109
52.1,16.381,19.39,143,0,110
52.2,16.412,17.02,102,0,109
52.3,16.441,18.64,129,0,109
52.4,16.473,19.34,142,0,114
52.5,16.505,19.12,138,0,110
52.6,16.536,17.41,108,0,109
52.7,16.564,16.95,101,0,109
52.8,16.596,19.85,152,0,112
52.9,16.628,19.07,137,0,106
53.0,16.659,18.80,132,0,108
53.1,16.689,16.76,98,0,107
53.2,16.718,18.69,130,0,108
53.3,16.749,17.02,102,0,88
53.4,16.772,13.61,58,0,88
53.5,16.800,16.21,90,0,100
53.6,16.826,16.07,88,0,104
53.7,16.855,18.46,126,0,105
53.8,16.885,17.89,116,0,106
53.9,16.915,18.24,122,0,106
54.0,16.946,19.23,140,0,112
54.1,16.979,19.75,150,0,110
54.2,17.011,19.02,136,0,108
54.3,17.042,19.02,136,0,112
54.4,17.074,18.46,126,0,112
54.5,17.105,18.80,132,0,108
54.6,17.137,19.12,138,0,110
54.7,17.169,18.91,134,0,110
54.8,17.200,18.46,126,0,111
54.9,17.231,18.46,126,0,109
55.0,17.262,18.30,123,0,112
55.1,17.292,18.12,120,0,112
55.2,17.324,19.34,142,0,109
55.3,17.355,18.53,127,0,109
55.4,17.385,16.89,100,0,108
55.5,17.414,18.07,119,0,112
55.6,17.444,18.24,122,0,111
55.7,17.476,19.80,151,0,111
