
RIDE SUMMARY,
Total Time, 45.3, Minutes, 
Total Distance, 21.98, MI, 
AVG Power, 243, 
MAX Power, 601, 
AVG RPM, 84, 
MAX RPM, 113, 
AVG HR, 109, 
MAX HR, 130, 
CAL, 659, 

STAGE_1_SUMMARY,
Stage Time,  5.7, Minutes, 
Total Distance, 3.44, MI, 
AVG Power, 303, 
MAX Power, 412, 
AVG HR, 105, 
MAX HR, 119, 

STAGE_2_SUMMARY,
Stage Time,  1.5, Minutes, 
Total Distance, 1.04, MI, 
AVG Power, 353, 
MAX Power, 601, 
AVG HR, 120, 
MAX HR, 125, 

STAGE_3_SUMMARY,
Stage Time,  1.8, Minutes, 
Total Distance, 1.40, MI, 
AVG Power, 389, 
MAX Power, 439, 
AVG HR, 121, 
MAX HR, 126, 

STAGE_4_SUMMARY,
Stage Time,  3.7, Minutes, 
Total Distance, 2.61, MI, 
AVG Power, 354, 
MAX Power, 501, 
AVG HR, 122, 
MAX HR, 130, 

STAGE_5_SUMMARY,
Stage Time,  2.5, Minutes, 
Total Distance, 1.68, MI, 
AVG Power, 337, 
MAX Power, 428, 
AVG HR, 123, 
MAX HR, 129, 

STAGE_6_SUMMARY,
Stage Time,  8.9, Minutes, 
Total Distance, 5.59, MI, 
AVG Power, 313, 
MAX Power, 390, 
AVG HR, 124, 
MAX HR, 129, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
340,100,128,21.24,
342,98,128,21.27,
343,99,128,21.30,
360,99,128,21.34,
368,97,128,21.37,
368,99,128,21.41,
342,97,128,21.45,
329,94,128,21.48,
302,93,128,21.52,
317,94,128,21.55,
311,95,127,21.58,
337,99,127,21.61,
375,103,127,21.64,
389,103,128,21.68,
331,85,128,21.72,
357,98,128,21.76,
347,97,128,21.79,
359,99,128,21.82,
354,86,129,21.86,
151,59,129,21.89,
14,61,129,21.92,
7,63,129,21.93,
12,76,128,21.93,
11,75,127,21.93,
11,67,126,21.94,
10,78,124,21.94,
11,77,124,21.94,
12,76,123,21.94,
12,78,122,21.94,
12,76,122,21.94,
12,78,122,21.94,
12,78,121,21.94,
12,84,121,21.94,
13,83,121,21.95,
14,83,121,21.95,
14,82,120,21.95,
13,80,120,21.95,
13,78,119,21.95,
12,76,118,21.95,
12,82,118,21.95,
13,82,117,21.96,
13,80,117,21.96,
13,80,116,21.96,
13,82,115,21.96,
13,80,114,21.96,
13,80,113,21.96,
13,83,112,21.96,
13,83,112,21.97,
15,93,112,21.97,
17,92,111,21.97,
17,93,111,21.97,
17,86,110,21.97,
15,78,110,21.97,
12,73,109,21.98,
10,66,109,21.98,
9,61,107,21.98,
8,65,106,21.98,
7,62,104,21.98,
7,61,102,21.98,
7,59,101,21.98,
6,56,101,21.98,
6,56,101,21.98,
5,28,101,21.98,
0,17,101,21.98,
0,17,102,21.98,
0,0,102,21.98,
